fighter_name,has_ufc_stats_url,ufc_stats_url
Grant Dawson,True,http://ufcstats.com/fighter-details/99bd51917728c25d
Gregory Rodrigues,True,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd
Guido Cannetti,True,http://ufcstats.com/fighter-details/d05412b513b19621
Guilherme Pat,True,http://ufcstats.com/fighter-details/ba15006c804a8de0
Gunnar Nelson,True,http://ufcstats.com/fighter-details/fd55393021a8c255
Guram Kutateladze,True,http://ufcstats.com/fighter-details/7772b283d288dbe2
Hailey Cowan,True,http://ufcstats.com/fighter-details/3c26c420584d912d
Hakeem Dawodu,True,http://ufcstats.com/fighter-details/2c9d00968f818270
Hamdy Abdelwahab,True,http://ufcstats.com/fighter-details/3329d692aea4dc28
Hannah Goldy,True,http://ufcstats.com/fighter-details/26e3f3928b1891d9
Harry Hardwick,True,http://ufcstats.com/fighter-details/2dbc60c52de126d8
Hecher Sosa,True,http://ufcstats.com/fighter-details/ec3bd30378d63dd1
Henry Cejudo,True,http://ufcstats.com/fighter-details/056c493bbd76a918
Herbert Burns,True,http://ufcstats.com/fighter-details/4f140403000158b5
Holly Holm,True,http://ufcstats.com/fighter-details/634e2fb70bde3fd5
Hyder Amil,True,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
HyunSung Park,True,http://ufcstats.com/fighter-details/b671bdf981ad527d
Ian Machado Garry,True,http://ufcstats.com/fighter-details/442c9011034ae1fd
Iasmin Lucindo,True,http://ufcstats.com/fighter-details/abcf2cc6efc42031
Ibo Aslan,True,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
Ignacio Bahamondes,True,http://ufcstats.com/fighter-details/e4a47b07044ddd72
Igor Severino,True,http://ufcstats.com/fighter-details/6ad8e4296f7522d9
Ihor Potieria,True,http://ufcstats.com/fighter-details/260bd4cef10b033f
Ikram Aliskerov,True,http://ufcstats.com/fighter-details/b07aed698fba8624
Ilia Topuria,True,http://ufcstats.com/fighter-details/54f64b5e283b0ce7
Ilir Latifi,True,http://ufcstats.com/fighter-details/e9a3aeb207578eea
Imanol Rodriguez,True,http://ufcstats.com/fighter-details/6e8349a0a0476d60
Ion Cutelaba,True,http://ufcstats.com/fighter-details/cd13728ae1151f46
Irene Aldana,True,http://ufcstats.com/fighter-details/578ef12674df1e6a
Irina Alekseeva,True,http://ufcstats.com/fighter-details/103e2e33a60683e1
